model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否存在价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
Qwen2.5-32B-Instruct,去社区医院预约特快出租车用滴滴,"|序号id|应用名称|车型大类|车辆类型|价格|
Qwen2.5-32B-Instruct,七座新豪华车明天往返迪士尼乐园,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|37-40|
|1|高德地图|     |特惠快车|41-41|
|2|高德地图|经济型|腾飞出行|43|
|3|高德地图|经济型|旅程出租|43|
|4|高德地图|经济型|添猫出行|43|
|5|高德地图|经济型|日初出行|43|
|6|高德地图|经济型|妥妥E行|43|
|7|高德地图|经济型|及时用车|44|
|8|高德地图|经济型|5U出行|44|
|9|高德地图|经济型|北京新出租|44|
|10|高德地图|经济型|聚的新出租|44|
|11|高德地图|经济型|首汽约车|45|
|12|高德地图|经济型|方舟行|45|
|13|高德地图|经济型|阳光出行|46|
|14|高德地图|经济型|星徽出行|46|
|15|高德地图|经济型|橄榄新出租|46|
|16|高德地图|经济型|365约车|47|
|17|高德地图|经济型|易至出行|47|
|18|高德地图|特快车|超值体验 更快上车|49|
|19|高德地图|出租车|车多应答快|52|
|20|高德地图|优享型|腾飞出行|58|
|21|高德地图|优享型|添猫出行|58|
|22|高德地图|优享型|妥妥E行|59|
|23|高德地图|优享型|优e出行特选|59|
|24|高德地图|优享型|及时用车|59|
|25|高德地图|优享型|AA出行|59|
|26|高德地图|优享型|曹操出行|59|
|27|高德地图|优享型|飞嘀打车|60|
|28|高德地图|优享型|首汽约车|61|
|29|高德地图|优享型|斑马快跑|61|
|30|高德地图|优享型|T3出行|62|
|31|高德地图|优享型|神州专车|62|
|32|高德地图|轻享专车|静音不打扰 整洁无异味|66|
|33|高德地图|品质专车|静音不打扰 整洁无异味|74|
|34|高德地图|六座商务|宽敞空间 商务体验|82|
|35|高德地图|豪华型|车型高端 服务专业|87|
|36|高德地图|经济|首汽约车|96|
|37|高德地图|拼车|出租车拼车|107|
|38|高德地图|特价出发|惊喜特价|119|
|39|高德地图|快速出发|无|127|
|40|高德地图|惠享专车|添猫出行|142|
|41|高德地图|惠享专车|曹操出行|142|
|42|高德地图|推荐|特惠快车|156|
|43|高德地图|豪华型|undefined|106-109|",,,"[{""app"": ""无"", ""category"": ""七座新豪华车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,七座新豪华车,无,无,无,,无,False,,False,0,,0,0,,0,1.144719601,,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': 'T3出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'优享型': '飞嘀打车'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '曹操出行'}, {'惠享专车': '添猫出行'}, {'拼车': '出租车拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': '5U出行'}, {'经济型': '北京新出租'}, {'经济型': '及时用车'}, {'经济型': '妥妥E行'}, {'经济型': '方舟行'}, {'经济型': '旅程出租'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '星徽出行'}, {'经济型': '橄榄新出租'}, {'经济型': '添猫出行'}, {'经济型': '聚的新出租'}, {'经济型': '腾飞出行'}, {'经济型': '阳光出行'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,七座新豪华车明天往返迪士尼乐园
Qwen2.5-32B-Instruct,虹桥火车站至张江药谷接驳用豪华车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|12-13|
|1|高德地图|     |特惠快车|13-13|
|2|高德地图|经济型|腾飞出行|12|
|3|高德地图|经济型|旗妙出行|12|
|4|高德地图|经济型|日初出行|13|
|5|高德地图|经济型|及时用车|14|
|6|高德地图|经济型|5U出行|14|
|7|高德地图|经济型|如祺出行|14|
|8|高德地图|经济型|曹操出行|14|
|9|高德地图|经济型|K9用车|14|
|10|高德地图|经济型|奇华出行|15|
|11|高德地图|经济型|有序出行|15|
|12|高德地图|经济型|中军出行|16|
|13|高德地图|经济型|易至出行|16|
|14|高德地图|特快车|超值体验 更快上车|17|
|15|高德地图|出租车|车多应答快|19|
|16|高德地图|优享型|旗妙出行|17|
|17|高德地图|优享型|全民GO|18|
|18|高德地图|优享型|火箭出行|18|
|19|高德地图|优享型|及时用车|18|
|20|高德地图|优享型|斑马快跑|18|
|21|高德地图|优享型|东潮出行|21|
|22|高德地图|优享型|中交出行|21|
|23|高德地图|轻享专车|静音不打扰 整洁无异味|23|
|24|高德地图|品质专车|静音不打扰 整洁无异味|25|
|25|高德地图|六座商务|宽敞空间 商务体验|23|
|26|高德地图|豪华型|车型高端 服务专业|30|
|27|高德地图|经济|首汽约车|30|
|28|高德地图|拼车|特惠快车|35|
|29|高德地图|特价出发|更多特价|37|
|30|高德地图|快速出发|无|40|
|31|高德地图|惠享专车|好车好服务|45|
|32|高德地图|推荐|特惠快车|50|
|33|高德地图|推荐|推荐专车|51|
|34|高德地图|豪华型|undefined|44-47|",,,"[{""app"": ""无"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,豪华车,豪华型,豪华型,无,,无,False,,False,0,,0,0,,0,1.083527327,直接命中车大类关键字但answer中没有或错误,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '火箭出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '好车好服务'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'推荐': '特惠快车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': 'K9用车'}, {'经济型': '中军出行'}, {'经济型': '及时用车'}, {'经济型': '奇华出行'}, {'经济型': '如祺出行'}, {'经济型': '旗妙出行'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '曹操出行'}, {'经济型': '有序出行'}, {'经济型': '腾飞出行'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",豪华型,无,,虹桥火车站至张江药谷接驳用豪华车
Qwen2.5-32B-Instruct,下暴雨，急需一辆豪华车去机场接送贵客,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|34-35|
|1|高德地图|     |特惠快车|37-39|
|2|高德地图|经济型|旅程出租|41|
|3|高德地图|经济型|全民GO|41|
|4|高德地图|经济型|日初出行|41|
|5|高德地图|经济型|妥妥E行|41|
|6|高德地图|经济型|及时用车|42|
|7|高德地图|经济型|K9用车|42|
|8|高德地图|经济型|曹操出行|42|
|9|高德地图|经济型|900出行|43|
|10|高德地图|经济型|神州专车|43|
|11|高德地图|经济型|方舟行|43|
|12|高德地图|经济型|东潮出行|43|
|13|高德地图|经济型|有序出行|43|
|14|高德地图|经济型|渔阳出行|43|
|15|高德地图|经济型|橄榄新出租|44|
|16|高德地图|经济型|国泰出租|45|
|17|高德地图|经济型|聚的新出租|45|
|18|高德地图|经济型|易至出行|45|
|19|高德地图|特快车|超值体验 更快上车|48|
|20|高德地图|出租车|车多应答快|55|
|21|高德地图|优享型|腾飞出行|56|
|22|高德地图|优享型|添猫出行|57|
|23|高德地图|优享型|火箭出行|57|
|24|高德地图|优享型|及时用车|58|
|25|高德地图|优享型|优e出行特选|59|
|26|高德地图|优享型|首汽约车|59|
|27|高德地图|优享型|环旅出行|59|
|28|高德地图|优享型|享道出行|59|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|65|
|30|高德地图|品质专车|静音不打扰 整洁无异味|71|
|31|高德地图|六座商务|宽敞空间 商务体验|76|
|32|高德地图|豪华型|车型高端 服务专业|83|
|33|高德地图|经济|首汽约车|92|
|34|高德地图|拼车|出租车拼车|105|
|35|高德地图|特价出发|惊喜特价|114|
|36|高德地图|快速出发|无|127|
|37|高德地图|惠享专车|添猫出行|135|
|38|高德地图|惠享专车|T3出行|136|
|39|高德地图|推荐|特惠快车|149|
|40|高德地图|豪华型|undefined|105-109|",,,"[{""app"": ""无"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,豪华车,豪华型,豪华型,无,,无,False,,False,0,,0,0,,0,1.085632324,直接命中车大类关键字但answer中没有或错误,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '环旅出行'}, {'优享型': '腾飞出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '添猫出行'}, {'拼车': '出租车拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '900出行'}, {'经济型': 'K9用车'}, {'经济型': '东潮出行'}, {'经济型': '全民GO'}, {'经济型': '及时用车'}, {'经济型': '国泰出租'}, {'经济型': '妥妥E行'}, {'经济型': '方舟行'}, {'经济型': '旅程出租'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '曹操出行'}, {'经济型': '有序出行'}, {'经济型': '橄榄新出租'}, {'经济型': '渔阳出行'}, {'经济型': '神州专车'}, {'经济型': '聚的新出租'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",豪华型,无,,下暴雨，急需一辆豪华车去机场接送贵客
Qwen2.5-32B-Instruct,企业高管访沪，帮我安排一辆豪华型车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|24-25|
|1|高德地图|     |特惠快车|27-28|
|2|高德地图|经济型|旅程出租|29|
|3|高德地图|经济型|腾飞出行|29|
|4|高德地图|经济型|日初出行|29|
|5|高德地图|经济型|享道出行|30|
|6|高德地图|经济型|及时用车|30|
|7|高德地图|经济型|5U出行|30|
|8|高德地图|经济型|AA出行|31|
|9|高德地图|经济型|曹操出行|31|
|10|高德地图|经济型|飞嘀打车|31|
|11|高德地图|经济型|深圳出租|31|
|12|高德地图|经济型|首汽约车|31|
|13|高德地图|经济型|阳光出行|32|
|14|高德地图|经济型|东潮出行|32|
|15|高德地图|经济型|有序出行|32|
|16|高德地图|经济型|神州专车|32|
|17|高德地图|经济型|星徽出行|33|
|18|高德地图|经济型|北京的士|33|
|19|高德地图|经济型|易至出行|33|
|20|高德地图|特快车|超值体验 更快上车|35|
|21|高德地图|出租车|车多应答快|39|
|22|高德地图|优享型|腾飞出行|41|
|23|高德地图|优享型|添猫出行|41|
|24|高德地图|优享型|全民GO|42|
|25|高德地图|优享型|火箭出行|43|
|26|高德地图|优享型|及时用车|43|
|27|高德地图|优享型|AA出行|44|
|28|高德地图|优享型|曹操出行|44|
|29|高德地图|优享型|神州专车|44|
|30|高德地图|轻享专车|静音不打扰 整洁无异味|44|
|31|高德地图|品质专车|静音不打扰 整洁无异味|51|
|32|高德地图|六座商务|宽敞空间 商务体验|54|
|33|高德地图|豪华型|车型高端 服务专业|62|
|34|高德地图|经济|首汽约车|70|
|35|高德地图|拼车|出租车拼车|75|
|36|高德地图|特价出发|更多特价|82|
|37|高德地图|快速出发|无|93|
|38|高德地图|惠享专车|T3出行|99|
|39|高德地图|推荐|推荐专车|108|
|40|高德地图|豪华型|undefined|81-86|",,,"[{""app"": ""无"", ""category"": ""豪华型车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,豪华型车,豪华型,豪华型,无,,无,False,,False,0,,0,0,,0,1.106312752,直接命中车大类关键字但answer中没有或错误,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'拼车': '出租车拼车'}, {'推荐': '推荐专车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': 'AA出行'}, {'经济型': '东潮出行'}, {'经济型': '享道出行'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '旅程出租'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '星徽出行'}, {'经济型': '曹操出行'}, {'经济型': '有序出行'}, {'经济型': '深圳出租'}, {'经济型': '神州专车'}, {'经济型': '腾飞出行'}, {'经济型': '阳光出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",豪华型,无,,企业高管访沪，帮我安排一辆豪华型车
Qwen2.5-32B-Instruct,携带摄影器材去剧组，需要一辆豪华车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|11-11|
|1|高德地图|     |特惠快车|11-13|
|2|高德地图|经济型|日初出行|12|
|3|高德地图|经济型|5U出行|12|
|4|高德地图|经济型|首汽约车|13|
|5|高德地图|经济型|T3出行|13|
|6|高德地图|经济型|渔阳出行|13|
|7|高德地图|经济型|添猫出行|13|
|8|高德地图|经济型|旗妙出行|13|
|9|高德地图|经济型|如祺出行|14|
|10|高德地图|经济型|900出行|14|
|11|高德地图|经济型|中交出行|14|
|12|高德地图|经济型|腾飞出行|14|
|13|高德地图|经济型|飞嘀打车|14|
|14|高德地图|经济型|东潮出行|15|
|15|高德地图|经济型|旅程出租|15|
|16|高德地图|经济型|及时用车|15|
|17|高德地图|经济型|K9用车|15|
|18|高德地图|经济型|斑马快跑|16|
|19|高德地图|经济型|有序出行|16|
|20|高德地图|经济型|神州专车|16|
|21|高德地图|经济型|中军出行|16|
|22|高德地图|经济型|北京的士|16|
|23|高德地图|特快车|超值体验 更快上车|18|
|24|高德地图|出租车|车多应答快|19|
|25|高德地图|优享型|腾飞出行|17|
|26|高德地图|优享型|火箭出行|18|
|27|高德地图|优享型|AA出行|19|
|28|高德地图|优享型|飞嘀打车|19|
|29|高德地图|优享型|首汽约车|21|
|30|高德地图|优享型|斑马快跑|21|
|31|高德地图|优享型|T3出行|21|
|32|高德地图|优享型|中交出行|21|
|33|高德地图|优享型|享道出行|21|
|34|高德地图|轻享专车|静音不打扰 整洁无异味|21|
|35|高德地图|品质专车|静音不打扰 整洁无异味|23|
|36|高德地图|六座商务|宽敞空间 商务体验|25|
|37|高德地图|豪华型|车型高端 服务专业|27|
|38|高德地图|经济|首汽约车|31|
|39|高德地图|拼车|特惠快车|34|
|40|高德地图|拼车|出租车拼车|35|
|41|高德地图|特价出发|惊喜特价|38|
|42|高德地图|快速出发|无|39|
|43|高德地图|惠享专车|精选车型 优质司机|45|
|44|高德地图|惠享专车|阳光出行|47|
|45|高德地图|推荐|极速拼车|52|
|46|高德地图|豪华型|undefined|47-52|",,,"[{""app"": ""无"", ""category"": ""豪华车型"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,豪华车型,豪华型,豪华型,无,,无,False,,False,0,,0,0,,0,1.058303356,直接命中车大类关键字但answer中没有或错误,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': 'T3出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '斑马快跑'}, {'优享型': '火箭出行'}, {'优享型': '腾飞出行'}, {'优享型': '飞嘀打车'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '精选车型 优质司机'}, {'惠享专车': '阳光出行'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'K9用车'}, {'经济型': 'T3出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '中军出行'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '如祺出行'}, {'经济型': '斑马快跑'}, {'经济型': '旅程出租'}, {'经济型': '旗妙出行'}, {'经济型': '日初出行'}, {'经济型': '有序出行'}, {'经济型': '添猫出行'}, {'经济型': '渔阳出行'}, {'经济型': '神州专车'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",豪华型,无,,携带摄影器材去剧组，需要一辆豪华车型
Qwen2.5-32B-Instruct,到机场商务接待，叫一个豪华型车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|11-11|
|1|高德地图|     |特惠快车|11-13|
|2|高德地图|经济型|旅程出租|12|
|3|高德地图|经济型|旗妙出行|12|
|4|高德地图|经济型|及时用车|12|
|5|高德地图|经济型|K9用车|13|
|6|高德地图|经济型|北京新出租|13|
|7|高德地图|经济型|5U出行|13|
|8|高德地图|经济型|飞嘀打车|13|
|9|高德地图|经济型|国泰出租|14|
|10|高德地图|经济型|首汽约车|14|
|11|高德地图|经济型|900出行|14|
|12|高德地图|经济型|阳光出行|14|
|13|高德地图|经济型|东潮出行|14|
|14|高德地图|经济型|有序出行|15|
|15|高德地图|经济型|神州专车|15|
|16|高德地图|经济型|中军出行|16|
|17|高德地图|经济型|北京的士|16|
|18|高德地图|经济型|中交出行|16|
|19|高德地图|特快车|超值体验 更快上车|18|
|20|高德地图|出租车|车多应答快|15|
|21|高德地图|优享型|旗妙出行|17|
|22|高德地图|优享型|享道出行|17|
|23|高德地图|优享型|及时用车|18|
|24|高德地图|优享型|优e出行特选|18|
|25|高德地图|优享型|曹操出行|19|
|26|高德地图|优享型|星徽出行|20|
|27|高德地图|优享型|中交出行|21|
|28|高德地图|轻享专车|静音不打扰 整洁无异味|22|
|29|高德地图|品质专车|静音不打扰 整洁无异味|22|
|30|高德地图|六座商务|宽敞空间 商务体验|27|
|31|高德地图|豪华型|车型高端 服务专业|28|
|32|高德地图|经济|首汽约车|31|
|33|高德地图|拼车|出租车拼车|33|
|34|高德地图|特价出发|更多特价|35|
|35|高德地图|快速出发|无|40|
|36|高德地图|惠享专车|精选车型 优质司机|44|
|37|高德地图|推荐|极速拼车|48|
|38|高德地图|豪华型|undefined|45-46|",,,"[{""app"": ""无"", ""category"": ""豪华型车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,豪华型车,豪华型,豪华型,无,,无,False,,False,0,,0,0,,0,1.113670111,直接命中车大类关键字但answer中没有或错误,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '旗妙出行'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'K9用车'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '中军出行'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '国泰出租'}, {'经济型': '旅程出租'}, {'经济型': '旗妙出行'}, {'经济型': '有序出行'}, {'经济型': '神州专车'}, {'经济型': '阳光出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",豪华型,无,,到机场商务接待，叫一个豪华型车
Qwen2.5-32B-Instruct,周末家庭日，打个豪华型车去崇明岛,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|33-34|
|1|高德地图|     |特惠快车|38-40|
|2|高德地图|经济型|旅程出租|40|
|3|高德地图|经济型|添猫出行|40|
|4|高德地图|经济型|妥妥E行|40|
|5|高德地图|经济型|橄榄新出租|40|
|6|高德地图|经济型|5U出行|41|
|7|高德地图|经济型|北京新出租|41|
|8|高德地图|经济型|飞嘀打车|41|
|9|高德地图|经济型|曹操出行|42|
|10|高德地图|经济型|首汽约车|42|
|11|高德地图|经济型|斑马快跑|42|
|12|高德地图|经济型|奇华出行|43|
|13|高德地图|经济型|北京的士|43|
|14|高德地图|经济型|渔阳出行|43|
|15|高德地图|经济型|星徽出行|43|
|16|高德地图|经济型|国泰出租|44|
|17|高德地图|经济型|中交出行|44|
|18|高德地图|特快车|超值体验 更快上车|45|
|19|高德地图|出租车|车多应答快|53|
|20|高德地图|优享型|腾飞出行|54|
|21|高德地图|优享型|旗妙出行|54|
|22|高德地图|优享型|享道出行|54|
|23|高德地图|优享型|火箭出行|55|
|24|高德地图|优享型|优e出行特选|55|
|25|高德地图|优享型|及时用车|56|
|26|高德地图|优享型|曹操出行|57|
|27|高德地图|优享型|首汽约车|57|
|28|高德地图|优享型|斑马快跑|57|
|29|高德地图|优享型|东潮出行|57|
|30|高德地图|优享型|环旅出行|58|
|31|高德地图|优享型|星徽出行|58|
|32|高德地图|优享型|中交出行|58|
|33|高德地图|轻享专车|静音不打扰 整洁无异味|61|
|34|高德地图|品质专车|静音不打扰 整洁无异味|70|
|35|高德地图|六座商务|宽敞空间 商务体验|74|
|36|高德地图|豪华型|车型高端 服务专业|83|
|37|高德地图|经济|首汽约车|90|
|38|高德地图|拼车|特惠快车|101|
|39|高德地图|拼车|出租车拼车|101|
|40|高德地图|特价出发|惊喜特价|112|
|41|高德地图|特价出发|更多特价|112|
|42|高德地图|快速出发|无|119|
|43|高德地图|惠享专车|好车好服务|132|
|44|高德地图|惠享专车|及时用车|135|
|45|高德地图|推荐|极速拼车|147|
|46|高德地图|豪华型|undefined|101-105|",,,"[{""app"": ""无"", ""category"": ""豪华型车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,豪华型车,豪华型,豪华型,无,,无,False,,False,0,,0,0,,0,1.085431099,直接命中车大类关键字但answer中没有或错误,,顾存虹,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'优享型': '火箭出行'}, {'优享型': '环旅出行'}, {'优享型': '腾飞出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '及时用车'}, {'惠享专车': '好车好服务'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '中交出行'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '国泰出租'}, {'经济型': '奇华出行'}, {'经济型': '妥妥E行'}, {'经济型': '斑马快跑'}, {'经济型': '旅程出租'}, {'经济型': '星徽出行'}, {'经济型': '曹操出行'}, {'经济型': '橄榄新出租'}, {'经济型': '添猫出行'}, {'经济型': '渔阳出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",豪华型,无,,周末家庭日，打个豪华型车去崇明岛
Qwen2.5-32B-Instruct,国际航班接机，帮我叫一个豪华车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|54-56|
|1|高德地图|     |特惠快车|60-63|
|2|高德地图|经济型|腾飞出行|64|
|3|高德地图|经济型|全民GO|64|
|4|高德地图|经济型|J刻出行|64|
|5|高德地图|经济型|享道出行|64|
|6|高德地图|经济型|5U出行|64|
|7|高德地图|经济型|AA出行|65|
|8|高德地图|经济型|曹操出行|65|
|9|高德地图|经济型|365约车|65|
|10|高德地图|经济型|神州专车|66|
|11|高德地图|经济型|渔阳出行|66|
|12|高德地图|经济型|橄榄新出租|67|
|13|高德地图|经济型|中军出行|67|
|14|高德地图|经济型|北京的士|67|
|15|高德地图|经济型|中交出行|68|
|16|高德地图|特快车|超值体验 更快上车|73|
|17|高德地图|出租车|车多应答快|79|
|18|高德地图|优享型|腾飞出行|86|
|19|高德地图|优享型|全民GO|86|
|20|高德地图|优享型|妥妥E行|87|
|21|高德地图|优享型|风韵出行|87|
|22|高德地图|优享型|火箭出行|88|
|23|高德地图|优享型|环旅出行|89|
|24|高德地图|优享型|神州专车|90|
|25|高德地图|优享型|中交出行|90|
|26|高德地图|轻享专车|静音不打扰 整洁无异味|99|
|27|高德地图|品质专车|静音不打扰 整洁无异味|105|
|28|高德地图|六座商务|宽敞空间 商务体验|115|
|29|高德地图|豪华型|车型高端 服务专业|129|
|30|高德地图|经济|首汽约车|143|
|31|高德地图|拼车|出租车拼车|155|
|32|高德地图|特价出发|惊喜特价|170|
|33|高德地图|快速出发|无|187|
|34|高德地图|惠享专车|阳光出行|207|
|35|高德地图|惠享专车|及时用车|210|
|36|高德地图|推荐|极速拼车|231|
