车列表名称,车列表参数,车型理解,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
,,现在要去大三巴牌坊修复材料，选优享型分类车型的车，立刻出发,高德车列表,sessionId20250624lhx1148,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n现在要去大三巴牌坊修复材料，选优享型分类车型的车，立刻出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""现在要去大三巴牌坊修复材料，选优享型分类车型的车，立刻出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '70', '73', '112']","['27','28','29','30','31','32','33','34','35','36','37','38','39','40','70','73','112']",1,1,1,1,1,0,1,1,
,,101观景台到松山机场，需要特价专车车型的车,高德车列表,sessionId20250624lhx1149,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n101观景台到松山机场，需要特价专车车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""101观景台到松山机场，需要特价专车车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['114'],['114'],1,1,1,1,1,1,1,1,
,,从逢甲夜市到清泉岗机场，用享道出行车型的车,高德车列表,sessionId20250624lhx1150,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n从逢甲夜市到清泉岗机场，用享道出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""从逢甲夜市到清泉岗机场，用享道出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""享道出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""享道出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['5', '50', '70', '83', '91', '118']","['5','50','70','83','91','118']",1,1,1,1,1,1,1,1,
,,请帮我叫一辆腾飞出行车型的车，现在需要从台南机场到赤崁楼文化园区,高德车列表,sessionId20250624lhx1151,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n请帮我叫一辆腾飞出行车型的车，现在需要从台南机场到赤崁楼文化园区\n\n"",""exts"":""{\""userHistoryInputContent\"":\""请帮我叫一辆腾飞出行车型的车，现在需要从台南机场到赤崁楼文化园区\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['7', '23', '33', '52', '69', '80', '87', '96', '108', '109', '110']","['7','33','52','80','87','96']",1,1,1,1,1,1,0,1,
,,从高雄小港机场到西子湾拼车，选神州专车车型的车,高德车列表,sessionId20250624lhx1152,"{'appName': '', 'carModelRelated': True, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n从高雄小港机场到西子湾拼车，选神州专车车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""从高雄小港机场到西子湾拼车，选神州专车车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""神州专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""神州专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['11', '36', '54', '82', '88', '99']","[ '11', '36','54','82','88','99']",1,1,1,1,1,1,1,1,
,,打出租车，现在从海口观澜湖到火山口地质公园,高德车列表,sessionId20250624lhx1153,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n打出租车，现在从海口观澜湖到火山口地质公园\n\n"",""exts"":""{\""userHistoryInputContent\"":\""打出租车，现在从海口观澜湖到火山口地质公园\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""阳光出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['15', '22', '23', '24', '26', '67', '68', '69', '75', '85', '106', '116', '117']","['15','22','23','24','26','66','67','68','69','75','85','106','108','110','116','117','16','28','61','97']",1,1,1,1,1,1,1,0.65,
,,我想立刻叫环旅出行车型的车，三亚凤凰机场到亚龙湾,高德车列表,sessionId20250624lhx1154,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n我想立刻叫环旅出行车型的车，三亚凤凰机场到亚龙湾\n\n"",""exts"":""{\""userHistoryInputContent\"":\""我想立刻叫环旅出行车型的车，三亚凤凰机场到亚龙湾\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""环旅出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""环旅出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['10', '37', '57', '81', '103']","['10','37','57','81','103']",1,1,1,1,1,1,1,1,
,,需要经济分类车型的车，现在就要出发，张家界荷花机场到天门山,高德车列表,sessionId20250624lhx1155,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n需要经济分类车型的车，现在就要出发，张家界荷花机场到天门山\n\n"",""exts"":""{\""userHistoryInputContent\"":\""需要经济分类车型的车，现在就要出发，张家界荷花机场到天门山\""}""}]","```json
[{""app"": ""无"", ""category"": ""经济"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""经济"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '72', '74', '111']","['3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','48','49','50','51','52','53','54','55','56','57','58','59','60','61','62','63','64','65','66','67','68','69','72','74','111']",1,1,1,1,1,0,1,1,
,,请调一辆风韵出行车型的车，丽江三义机场到酒店,高德车列表,sessionId20250624lhx1156,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n请调一辆风韵出行车型的车，丽江三义机场到酒店\n\n"",""exts"":""{\""userHistoryInputContent\"":\""请调一辆风韵出行车型的车，丽江三义机场到酒店\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""风韵出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""风韵出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['9', '32', '60', '76', '94']","['9','32','60','76','94']",1,1,1,1,1,1,1,1,
,,从大理凤仪机场到崇圣寺三塔，用旅程约车车型的车,高德车列表,sessionId20250624lhx1157,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n从大理凤仪机场到崇圣寺三塔，用旅程约车车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""从大理凤仪机场到崇圣寺三塔，用旅程约车车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""旅程约车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""旅程约车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '40', '59', '115']","['14','40','59','115']",1,1,1,1,1,1,1,1,
,,嘎洒机场到野象谷拼车，选经济型类目,高德车列表,sessionId20250624lhx1158,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n嘎洒机场到野象谷拼车，选经济型类目\n\n"",""exts"":""{\""userHistoryInputContent\"":\""嘎洒机场到野象谷拼车，选经济型类目\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车, 经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车, 经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '45', '47', '74']","['3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','48','49','50','51','52','53','54','55','56','57','58','59','60','61','62','63','64','65','66','67','68','69','72','74','111']",1,1,1,1,1,1,0,0.02,
,,打出租车，聚优出租车型的车！桂林两江机场到象鼻山,高德车列表,sessionId20250624lhx1159,"{'appName': '', 'carModelRelated': True, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n打出租车，聚优出租车型的车！桂林两江机场到象鼻山\n\n"",""exts"":""{\""userHistoryInputContent\"":\""打出租车，聚优出租车型的车！桂林两江机场到象鼻山\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""聚优出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['15', '66', '74', '110', '116']","['15','66','116']",1,1,1,1,1,1,0,1,
,,需要南京出租车型的车，从敦煌莫高机场到鸣沙山,高德车列表,sessionId20250624lhx1160,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n需要南京出租车型的车，从敦煌莫高机场到鸣沙山\n\n"",""exts"":""{\""userHistoryInputContent\"":\""需要南京出租车型的车，从敦煌莫高机场到鸣沙山\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['22', '67', '106']","['22','67','106']",1,1,1,1,1,1,1,1,
,,我想叫沛途出行车型的车，喀纳斯机场到禾木村,高德车列表,sessionId20250624lhx1161,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n我想叫沛途出行车型的车，喀纳斯机场到禾木村\n\n"",""exts"":""{\""userHistoryInputContent\"":\""我想叫沛途出行车型的车，喀纳斯机场到禾木村\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""沛途出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""沛途出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['19', '39', '58', '104']","['19','39','58','104']",1,1,1,1,1,1,1,1,
,,腾飞新出租车型的车立刻出发！九寨黄龙机场到景区入口,高德车列表,sessionId20250624lhx1162,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n腾飞新出租车型的车立刻出发！九寨黄龙机场到景区入口\n\n"",""exts"":""{\""userHistoryInputContent\"":\""腾飞新出租车型的车立刻出发！九寨黄龙机场到景区入口\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞新出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞新出租"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['23', '68', '69', '108', '110']","['23','68','108']",1,1,1,1,1,1,0,1,
,,帮叫鞍马聚的车型的车，长白山机场到北坡,高德车列表,sessionId20250624lhx1163,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n帮叫鞍马聚的车型的车，长白山机场到北坡\n\n"",""exts"":""{\""userHistoryInputContent\"":\""帮叫鞍马聚的车型的车，长白山机场到北坡\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""鞍马聚"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""鞍马聚的"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['24', '69', '75', '85']","['24', '69', '75', '85']",1,1,1,1,1,1,1,1,
,,打出租车，特惠快车类目，黄山屯溪机场到南大门,高德车列表,sessionId20250624lhx1164,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n打出租车，特惠快车类目，黄山屯溪机场到南大门\n\n"",""exts"":""{\""userHistoryInputContent\"":\""打出租车，特惠快车类目，黄山屯溪机场到南大门\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车, 特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '15', '22', '23', '24', '75', '85', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '115', '116', '117']","['106','108','110','116','117']",1,1,1,1,1,1,0,1,
,,使用曹操出行车型的车，要求现在接单，武夷山机场到九曲溪,高德车列表,sessionId20250624lhx1165,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n使用曹操出行车型的车，要求现在接单，武夷山机场到九曲溪\n\n"",""exts"":""{\""userHistoryInputContent\"":\""使用曹操出行车型的车，要求现在接单，武夷山机场到九曲溪\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""曹操出行"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '27', '48', '92']","['3','27','48','92']",1,1,0,1,1,0,1,1,
,,请帮我叫迪尔出行车型的车，舟山机场到普陀山码头,高德车列表,sessionId20250624lhx1166,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n请帮我叫迪尔出行车型的车，舟山机场到普陀山码头\n\n"",""exts"":""{\""userHistoryInputContent\"":\""请帮我叫迪尔出行车型的车，舟山机场到普陀山码头\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""迪尔出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""迪尔出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['13', '64', '100']","['13','64','100']",1,1,1,1,1,1,1,1,
,,六座商务车型，打车，从拉萨市到纳木错,高德车列表,sessionId20250624lhx1167,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n六座商务车型，打车，从拉萨市到纳木错\n\n"",""exts"":""{\""userHistoryInputContent\"":\""六座商务车型，打车，从拉萨市到纳木错\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座商务车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座商务车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['42', '83', '84', '86', '87', '88', '114']","['42','83','84','86','87','88','114']",1,1,1,1,1,1,1,1,
,,那拉提机场到草原，选一辆品质专车类目的车出发,高德车列表,sessionId20250624lhx1168,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n那拉提机场到草原，选一辆品质专车类目的车出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""那拉提机场到草原，选一辆品质专车类目的车出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""品质专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""品质专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['41', '71', '76', '77', '78', '79', '80', '81', '82', '113', '114']","['41','71','76','77','78','79','80','81','82','113','118']",1,1,1,1,1,1,0,0.91,
,,帮叫辆首汽约车车型的车，林芝米林机场到大峡谷,高德车列表,sessionId20250624lhx1169,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n帮叫辆首汽约车车型的车，林芝米林机场到大峡谷\n\n"",""exts"":""{\""userHistoryInputContent\"":\""帮叫辆首汽约车车型的车，林芝米林机场到大峡谷\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""首汽约车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""首汽约车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['17', '30', '62', '79', '84', '89']","['17','30','62','79','84','89']",1,1,1,1,1,1,1,1,
,,打一辆车，从日喀则机场到扎什伦布寺，经济型分类现在就出发,高德车列表,sessionId20250624lhx1170,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n打一辆车，从日喀则机场到扎什伦布寺，经济型分类现在就出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""打一辆车，从日喀则机场到扎什伦布寺，经济型分类现在就出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""经济型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '72', '74', '111']","['3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','48','49','50','51','52','53','54','55','56','57','58','59','60','61','62','63','64','65','66','67','68','69','72','74','111']",1,1,1,1,1,1,1,1,
,,需要使用有序出行车型的车，从阿里昆莎到古格王朝,高德车列表,sessionId20250624lhx1171,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n需要使用有序出行车型的车，从阿里昆莎到古格王朝\n\n"",""exts"":""{\""userHistoryInputContent\"":\""需要使用有序出行车型的车，从阿里昆莎到古格王朝\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""有序出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""有序出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['18', '53', '95', '113']","['18','53','95','113']",1,1,1,1,1,1,1,1,
,,请调一辆享道出行车型的车，我要从邦达机场到然乌湖,高德车列表,sessionId20250624lhx1172,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n请调一辆享道出行车型的车，我要从邦达机场到然乌湖\n\n"",""exts"":""{\""userHistoryInputContent\"":\""请调一辆享道出行车型的车，我要从邦达机场到然乌湖\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""享道出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""享道出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['5', '50', '70', '83', '91', '118']","['5','50','70','83','91','118']",1,1,1,1,1,1,1,1,
,,使用优享型类目的车，从德令哈机场到茶卡盐湖,高德车列表,sessionId20250624lhx1173,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n使用优享型类目的车，从德令哈机场到茶卡盐湖\n\n"",""exts"":""{\""userHistoryInputContent\"":\""使用优享型类目的车，从德令哈机场到茶卡盐湖\""}""}]","```json
[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""优享型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '70', '73', '112']","['27','28','29','30','31','32','33','34','35','36','37','38','39','40','70','73','112']",1,1,1,1,1,1,1,1,
,,阿勒泰机场到喀纳斯湖，特惠快车立刻走,高德车列表,sessionId20250624lhx1174,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n阿勒泰机场到喀纳斯湖，特惠快车立刻走\n\n"",""exts"":""{\""userHistoryInputContent\"":\""阿勒泰机场到喀纳斯湖，特惠快车立刻走\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['2', '89', '90', '91', '92', '93', '94', '95', '96', '97', '98', '99', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '115', '116', '117']","['2','25','89','90','91','92','93','94','95','96','97','98','99','100','101','102','103','104','105','106','107','108','109','110','115','116','117']",1,1,1,1,1,1,1,0.96,
,,叫一下T3出行车型的车，从库尔勒机场到罗布人村寨,高德车列表,sessionId20250624lhx1175,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n叫一下T3出行车型的车，从库尔勒机场到罗布人村寨\n\n"",""exts"":""{\""userHistoryInputContent\"":\""叫一下T3出行车型的车，从库尔勒机场到罗布人村寨\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""T3出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""T3出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['4', '29', '49', '90']","['4','29','49','90']",1,1,1,1,1,1,1,1,
,,去火焰山景区玩，需要来一辆叮叮出行车型的车,高德车列表,sessionId20250624lhx1176,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n去火焰山景区玩，需要来一辆叮叮出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""去火焰山景区玩，需要来一辆叮叮出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""叮叮出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""叮叮出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['12', '38', '63', '78', '86', '98']","['12','38','63','78','86','98']",1,1,1,1,1,1,1,1,
,,用鞍马出行车型的车，给我从哈密机场到巴里坤草原,高德车列表,sessionId20250624lhx1177,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n用鞍马出行车型的车，给我从哈密机场到巴里坤草原\n\n"",""exts"":""{\""userHistoryInputContent\"":\""用鞍马出行车型的车，给我从哈密机场到巴里坤草原\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""鞍马出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""鞍马出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['6', '24', '31', '51', '75', '77', '85', '93']","['6','31','51','77','93']",1,1,1,1,1,1,0,1,
,,克拉玛依机场到魔鬼城，帮我叫一个腾飞出行车型的车,高德车列表,sessionId20250624lhx1178,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n克拉玛依机场到魔鬼城，帮我叫一个腾飞出行车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""克拉玛依机场到魔鬼城，帮我叫一个腾飞出行车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""腾飞出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['7', '23', '33', '52', '69', '80', '87', '96', '108', '110']","['7','33','52','80','87','96']",1,1,1,1,1,1,0,1,
