query,车辆候选列表,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,think_time,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
用高德打个聚优出租去创新大厦，价格不超过80元。,"|序号id|应用名称|车型大类|车辆类型|价格|
准备去上海国际会议中心，用聚的出租车，价格不超过90。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-59|
|1|高德地图|     |特惠快车|66-69|
|2|高德地图|经济型|南京出租|71|
|3|高德地图|经济型|国泰出租|71|
|4|高德地图|经济型|曹操出行|71|
|5|高德地图|经济型|旅程出租|71|
|6|高德地图|经济型|北京新出租|71|
|7|高德地图|经济型|享道出行|72|
|8|高德地图|经济型|叮叮出行|73|
|9|高德地图|经济型|聚优出行|73|
|10|高德地图|经济型|易至出行|73|
|11|高德地图|经济型|阳光出行|73|
|12|高德地图|经济型|飞嘀打车|73|
|13|高德地图|经济型|聚的出租车|73|
|14|高德地图|经济型|鞍马聚的新出租|74|
|15|高德地图|经济型|有序出行|74|
|16|高德地图|经济型|有滴出行|75|
|17|高德地图|经济型|北京的士|75|
|18|高德地图|经济型|深圳出租|75|
|19|高德地图|经济型|中军出行|75|
|20|高德地图|特快车|超值体验 更快上车|80|
|21|高德地图|出租车|车多应答快|89|
|22|高德地图|优享型|妥妥E行|95|
|23|高德地图|优享型|旅程专车|95|
|24|高德地图|优享型|腾飞出行|95|
|25|高德地图|优享型|及时用车|96|
|26|高德地图|优享型|旗妙出行|96|
|27|高德地图|优享型|斑马快跑|96|
|28|高德地图|优享型|神州专车|97|
|29|高德地图|优享型|东潮出行|98|
|30|高德地图|优享型|AA出行|98|
|31|高德地图|优享型|中交出行|99|
|32|高德地图|优享型|优e出行特选|99|
|33|高德地图|优享型|环旅出行|99|
|34|高德地图|优享型|阳光出行|99|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|105|
|36|高德地图|品质专车|静音不打扰 整洁无异味|119|
|37|高德地图|六座商务|宽敞空间 商务体验|130|
|38|高德地图|豪华型|车型高端 服务专业|142|
|39|高德地图|经济|首汽约车|156|
|40|高德地图|拼车|出租车拼车|173|
|41|高德地图|拼车|特惠快车|173|
|42|高德地图|特价出发|更多特价|191|
|43|高德地图|快速出发|无|209|
|44|高德地图|惠享专车|添猫出行|230|
|45|高德地图|推荐|推荐专车|253|
|46|高德地图|推荐|极速拼车|254|
|47|高德地图|豪华型|undefined|157-158|","[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""聚的出租车"", ""price"": True, ""price_min"": 0, ""price_max"": 90, ""fast"": False}]",无,,出租车,无,聚的出租车,"聚的出租车,鞍马聚的新出租",True,0,90,15.25369024,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旅程专车""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""阳光出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""添猫出行""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""推荐"": ""极速拼车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""中军出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""北京的士""}, {""经济型"": ""南京出租""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""国泰出租""}, {""经济型"": ""旅程出租""}, {""经济型"": ""易至出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""深圳出租""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""阳光出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,准备去上海国际会议中心，用聚的出租车，价格不超过90。,出租车,"聚的出租车,鞍马聚的新出租",
用聚的出租车去上海马戏城，价格在80左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|50-53|
|1|高德地图|     |特惠快车|53-55|
|2|高德地图|经济型|南京出租|59|
|3|高德地图|经济型|旅程出租|59|
|4|高德地图|经济型|易至出行|59|
|5|高德地图|经济型|享道出行|59|
|6|高德地图|经济型|聚的出租车|59|
|7|高德地图|经济型|日初出行|60|
|8|高德地图|经济型|添猫出行|60|
|9|高德地图|经济型|环旅出行|60|
|10|高德地图|经济型|K9用车|60|
|11|高德地图|经济型|东潮出行|60|
|12|高德地图|经济型|首汽约车|61|
|13|高德地图|经济型|900出行|61|
|14|高德地图|经济型|T3出行|61|
|15|高德地图|经济型|橄榄新出租|61|
|16|高德地图|经济型|迪尔出行|61|
|17|高德地图|经济型|国泰出租|62|
|18|高德地图|经济型|腾飞出行|62|
|19|高德地图|经济型|及时用车|62|
|20|高德地图|经济型|飞嘀打车|63|
|21|高德地图|经济型|如祺出行|63|
|22|高德地图|特快车|超值体验 更快上车|67|
|23|高德地图|出租车|车多应答快|73|
|24|高德地图|出租车|鞍马聚的-高档出租车|76|
|25|高德地图|优享型|旅程专车|79|
|26|高德地图|优享型|曹操出行|80|
|27|高德地图|优享型|享道出行|82|
|28|高德地图|优享型|及时用车|83|
|29|高德地图|优享型|旗妙出行|83|
|30|高德地图|优享型|飞嘀打车|83|
|31|高德地图|优享型|东潮出行|83|
|32|高德地图|优享型|中交出行|83|
|33|高德地图|优享型|添猫出行|83|
|34|高德地图|轻享专车|静音不打扰 整洁无异味|90|
|35|高德地图|品质专车|静音不打扰 整洁无异味|98|
|36|高德地图|六座商务|宽敞空间 商务体验|110|
|37|高德地图|豪华型|车型高端 服务专业|121|
|38|高德地图|经济|首汽约车|132|
|39|高德地图|拼车|出租车拼车|143|
|40|高德地图|特价出发|更多特价|158|
|41|高德地图|特价出发|惊喜特价|158|
|42|高德地图|快速出发|无|175|
|43|高德地图|惠享专车|及时用车|192|
|44|高德地图|惠享专车|添猫出行|192|
|45|高德地图|推荐|特惠快车|212|
|46|高德地图|豪华型|undefined|134-135|","[{""app"": ""聚的"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 80, ""price_max"": 80, ""fast"": False}]",聚的,无,出租车,无,无,"聚的出租车,鞍马聚的-高档出租车",True,80,80,7.665417671,直接命中车小类关键字但answer中没有或错误,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""旅程专车""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""飞嘀打车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""及时用车""}, {""惠享专车"": ""添猫出行""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""900出行""}, {""经济型"": ""K9用车""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""南京出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""国泰出租""}, {""经济型"": ""如祺出行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""日初出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""添猫出行""}, {""经济型"": ""环旅出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""飞嘀打车""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用聚的出租车去上海马戏城，价格在80左右。,出租车,"聚的出租车,鞍马聚的-高档出租车",
叫个车去上海野生动物园，用高德，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|53-56|
|1|高德地图|     |特惠快车|59-60|
|2|高德地图|经济型|南京出租|63|
|3|高德地图|经济型|旅程出租|63|
|4|高德地图|经济型|易至出行|63|
|5|高德地图|经济型|享道出行|63|
|6|高德地图|经济型|鞍马聚的新出租|63|
|7|高德地图|经济型|妥妥E行|64|
|8|高德地图|经济型|叮叮出行|64|
|9|高德地图|经济型|东潮出行|65|
|10|高德地图|经济型|AA出行|65|
|11|高德地图|经济型|首汽约车|65|
|12|高德地图|经济型|星徽出行|65|
|13|高德地图|经济型|奇华出行|65|
|14|高德地图|经济型|900出行|65|
|15|高德地图|经济型|橄榄新出租|65|
|16|高德地图|经济型|迪尔出行|66|
|17|高德地图|经济型|中军出行|66|
|18|高德地图|经济型|风韵出行|66|
|19|高德地图|经济型|腾飞出行|67|
|20|高德地图|经济型|5U出行|67|
|21|高德地图|经济型|曹操出行|67|
|22|高德地图|经济型|飞嘀打车|67|
|23|高德地图|经济型|如祺出行|67|
|24|高德地图|经济型|阳光出行|67|
|25|高德地图|特快车|超值体验 更快上车|70|
|26|高德地图|出租车|鞍马聚的-高档出租车|79|
|27|高德地图|优享型|妥妥E行|84|
|28|高德地图|优享型|旅程专车|85|
|29|高德地图|优享型|腾飞出行|85|
|30|高德地图|优享型|全民GO|85|
|31|高德地图|优享型|T3出行|85|
|32|高德地图|优享型|享道出行|86|
|33|高德地图|优享型|旗妙出行|86|
|34|高德地图|优享型|飞嘀打车|86|
|35|高德地图|优享型|东潮出行|86|
|36|高德地图|优享型|AA出行|86|
|37|高德地图|优享型|神州专车|87|
|38|高德地图|优享型|中交出行|87|
|39|高德地图|优享型|添猫出行|88|
|40|高德地图|轻享专车|静音不打扰 整洁无异味|93|
|41|高德地图|品质专车|静音不打扰 整洁无异味|103|
|42|高德地图|六座商务|宽敞空间 商务体验|115|
|43|高德地图|豪华型|车型高端 服务专业|125|
|44|高德地图|经济|首汽约车|140|
|45|高德地图|拼车|特惠快车|151|
|46|高德地图|特价出发|惊喜特价|169|
|47|高德地图|快速出发|无|185|
|48|高德地图|惠享专车|添猫出行|206|
|49|高德地图|推荐|推荐专车|224|
|50|高德地图|豪华型|undefined|143-145|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",高德,,无,,无,,True,0,100000,19.78222132,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""旅程专车""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""飞嘀打车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""添猫出行""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""5U出行""}, {""经济型"": ""900出行""}, {""经济型"": ""AA出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""南京出租""}, {""经济型"": ""叮叮出行""}, {""经济型"": ""奇华出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""易至出行""}, {""经济型"": ""星徽出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""阳光出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""飞嘀打车""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,叫个车去上海野生动物园，用高德，价格不限。,无,无,
用高德，帮我叫个聚的出租车去上海海洋海昌公园。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-59|
|1|高德地图|     |特惠快车|66-67|
|2|高德地图|经济型|鞍马聚的新出租|71|
|3|高德地图|经济型|聚的出租车|71|
|4|高德地图|经济型|日初出行|71|
|5|高德地图|经济型|中交出行|71|
|6|高德地图|经济型|渔阳出行|71|
|7|高德地图|经济型|妥妥E行|71|
|8|高德地图|经济型|J刻出行|71|
|9|高德地图|经济型|K9用车|71|
|10|高德地图|经济型|有序出行|72|
|11|高德地图|经济型|斑马快跑|72|
|12|高德地图|经济型|神州专车|72|
|13|高德地图|经济型|奇华出行|73|
|14|高德地图|经济型|T3出行|73|
|15|高德地图|经济型|方舟行|73|
|16|高德地图|经济型|北京的士|73|
|17|高德地图|经济型|迪尔出行|73|
|18|高德地图|经济型|有滴出行|73|
|19|高德地图|经济型|聚的新出租|73|
|20|高德地图|经济型|中军出行|73|
|21|高德地图|经济型|国泰出租|74|
|22|高德地图|经济型|腾飞出行|74|
|23|高德地图|经济型|曹操出行|74|
|24|高德地图|经济型|北京新出租|74|
|25|高德地图|经济型|飞嘀打车|74|
|26|高德地图|经济型|如祺出行|75|
|27|高德地图|经济型|聚优出租|75|
|28|高德地图|特快车|超值体验 更快上车|82|
|29|高德地图|出租车|车多应答快|89|
|30|高德地图|优享型|妥妥E行|96|
|31|高德地图|优享型|风韵出行|96|
|32|高德地图|优享型|曹操出行|97|
|33|高德地图|优享型|及时用车|98|
|34|高德地图|优享型|斑马快跑|99|
|35|高德地图|优享型|首汽约车|99|
|36|高德地图|优享型|阳光出行|99|
|37|高德地图|轻享专车|静音不打扰 整洁无异味|108|
|38|高德地图|品质专车|静音不打扰 整洁无异味|115|
|39|高德地图|六座商务|宽敞空间 商务体验|127|
|40|高德地图|豪华型|车型高端 服务专业|142|
|41|高德地图|经济|首汽约车|156|
|42|高德地图|拼车|出租车拼车|171|
|43|高德地图|拼车|特惠快车|172|
|44|高德地图|特价出发|更多特价|189|
|45|高德地图|快速出发|无|208|
|46|高德地图|惠享专车|好车好服务|227|
|47|高德地图|推荐|推荐专车|253|
|48|高德地图|豪华型|undefined|162-165|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚的出租车"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,无,,聚的出租车,"鞍马聚的新出租,聚的出租车,聚的新出租",False,0,0,9.182774782,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""曹操出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""好车好服务""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""J刻出行""}, {""经济型"": ""K9用车""}, {""经济型"": ""T3出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""北京的士""}, {""经济型"": ""国泰出租""}, {""经济型"": ""奇华出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""方舟行""}, {""经济型"": ""日初出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""迪尔出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德，帮我叫个聚的出租车去上海海洋海昌公园。,无,"鞍马聚的新出租,聚的出租车,聚的新出租",
打个聚的出租车去上海中心大厦，价格在100到130之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|53-53|
|1|高德地图|     |特惠快车|58-59|
|2|高德地图|经济型|南京出租|63|
|3|高德地图|经济型|旅程出租|63|
|4|高德地图|经济型|享道出行|63|
|5|高德地图|经济型|鞍马聚的新出租|63|
|6|高德地图|经济型|聚的出租车|63|
|7|高德地图|经济型|全民GO|63|
|8|高德地图|经济型|渔阳出行|63|
|9|高德地图|经济型|添猫出行|64|
|10|高德地图|经济型|中交出行|64|
|11|高德地图|经济型|J刻出行|64|
|12|高德地图|经济型|旗妙出行|64|
|13|高德地图|经济型|东潮出行|64|
|14|高德地图|经济型|奇华出行|65|
|15|高德地图|经济型|T3出行|65|
|16|高德地图|经济型|橄榄新出租|65|
|17|高德地图|经济型|北京的士|65|
|18|高德地图|经济型|有滴出行|66|
|19|高德地图|经济型|聚的新出租|66|
|20|高德地图|经济型|腾飞出行|66|
|21|高德地图|经济型|及时用车|67|
|22|高德地图|经济型|飞嘀打车|67|
|23|高德地图|经济型|聚优出租|67|
|24|高德地图|特快车|超值体验 更快上车|71|
|25|高德地图|出租车|鞍马聚的-高档出租车|76|
|26|高德地图|优享型|妥妥E行|84|
|27|高德地图|优享型|腾飞出行|84|
|28|高德地图|优享型|T3出行|84|
|29|高德地图|优享型|曹操出行|85|
|30|高德地图|优享型|飞嘀打车|86|
|31|高德地图|优享型|神州专车|87|
|32|高德地图|优享型|东潮出行|87|
|33|高德地图|优享型|斑马快跑|88|
|34|高德地图|优享型|添猫出行|88|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|97|
|36|高德地图|品质专车|静音不打扰 整洁无异味|105|
|37|高德地图|六座商务|宽敞空间 商务体验|116|
|38|高德地图|豪华型|车型高端 服务专业|127|
|39|高德地图|经济|首汽约车|137|
|40|高德地图|拼车|特惠快车|152|
|41|高德地图|特价出发|更多特价|167|
|42|高德地图|快速出发|无|184|
|43|高德地图|惠享专车|阳光出行|205|
|44|高德地图|推荐|特惠快车|224|
|45|高德地图|豪华型|undefined|142-146|","[{""app"": ""聚的"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 100, ""price_max"": 130, ""fast"": False}]",聚的,无,出租车,无,无,"鞍马聚的新出租,聚的出租车,聚的新出租,鞍马聚的-高档出租车",True,100,130,21.66580439,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""曹操出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""飞嘀打车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""阳光出行""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""J刻出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""北京的士""}, {""经济型"": ""南京出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""奇华出行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""添猫出行""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,打个聚的出租车去上海中心大厦，价格在100到130之间。,出租车,"鞍马聚的新出租,聚的出租车,聚的新出租,鞍马聚的-高档出租车",
叫个车去上海南浦大桥，用聚的出租车，价格60左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-57|
|1|高德地图|     |特惠快车|62-64|
|2|高德地图|经济型|鞍马出行|67|
|3|高德地图|经济型|享道出行|67|
|4|高德地图|经济型|聚优出行|67|
|5|高德地图|经济型|聚的出租车|67|
|6|高德地图|经济型|全民GO|68|
|7|高德地图|经济型|渔阳出行|68|
|8|高德地图|经济型|妥妥E行|69|
|9|高德地图|经济型|J刻出行|69|
|10|高德地图|经济型|K9用车|69|
|11|高德地图|经济型|有序出行|69|
|12|高德地图|经济型|东潮出行|69|
|13|高德地图|经济型|AA出行|70|
|14|高德地图|经济型|斑马快跑|70|
|15|高德地图|经济型|神州专车|70|
|16|高德地图|经济型|星徽出行|70|
|17|高德地图|经济型|奇华出行|70|
|18|高德地图|经济型|T3出行|71|
|19|高德地图|经济型|橄榄新出租|71|
|20|高德地图|经济型|365约车|71|
|21|高德地图|经济型|国泰出租|71|
|22|高德地图|经济型|曹操出行|71|
|23|高德地图|经济型|及时用车|71|
|24|高德地图|经济型|飞嘀打车|71|
|25|高德地图|经济型|如祺出行|71|
|26|高德地图|特快车|超值体验 更快上车|77|
|27|高德地图|出租车|鞍马聚的-高档出租车|82|
|28|高德地图|优享型|T3出行|90|
|29|高德地图|优享型|环旅出行|90|
|30|高德地图|优享型|火箭出行|91|
|31|高德地图|优享型|及时用车|91|
|32|高德地图|优享型|飞嘀打车|91|
|33|高德地图|优享型|神州专车|92|
|34|高德地图|优享型|全民GO|93|
|35|高德地图|优享型|优e出行特选|93|
|36|高德地图|优享型|星徽出行|94|
|37|高德地图|优享型|阳光出行|94|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|103|
|39|高德地图|品质专车|静音不打扰 整洁无异味|113|
|40|高德地图|六座商务|宽敞空间 商务体验|121|
|41|高德地图|豪华型|车型高端 服务专业|132|
|42|高德地图|经济|首汽约车|150|
|43|高德地图|拼车|特惠快车|162|
|44|高德地图|特价出发|惊喜特价|179|
|45|高德地图|快速出发|无|196|
|46|高德地图|惠享专车|及时用车|217|
|47|高德地图|推荐|推荐专车|237|
|48|高德地图|豪华型|undefined|154-155|","[{""app"": ""聚的"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 60, ""price_max"": 60, ""fast"": False}]",聚的,无,出租车,无,无,"聚的出租车,鞍马聚的-高档出租车",True,60,60,17.65228534,直接命中车小类关键字但answer中没有或错误,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""星徽出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""阳光出行""}, {""优享型"": ""飞嘀打车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""及时用车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""AA出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""K9用车""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""及时用车""}, {""经济型"": ""国泰出租""}, {""经济型"": ""奇华出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""星徽出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""渔阳出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出行""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,叫个车去上海南浦大桥，用聚的出租车，价格60左右。,出租车,"聚的出租车,鞍马聚的-高档出租车",
用聚的出租车去上海吴淞口国际邮轮港，价格不超过200。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|51-54|
|1|高德地图|     |特惠快车|57-59|
|2|高德地图|经济型|J刻出行|63|
|3|高德地图|经济型|全民GO|64|
|4|高德地图|经济型|环旅出行|64|
|5|高德地图|经济型|曹操出行|64|
|6|高德地图|经济型|5U出行|65|
|7|高德地图|经济型|及时用车|65|
|8|高德地图|经济型|橄榄新出租|65|
|9|高德地图|经济型|聚优出行|65|
|10|高德地图|经济型|深圳出租|65|
|11|高德地图|经济型|旗妙出行|66|
|12|高德地图|经济型|聚的出租车|66|
|13|高德地图|经济型|365约车|66|
|14|高德地图|经济型|AA出行|66|
|15|高德地图|经济型|迪尔出行|66|
|16|高德地图|经济型|中交出行|67|
|17|高德地图|经济型|渔阳出行|67|
|18|高德地图|经济型|添猫出行|67|
|19|高德地图|经济型|星徽出行|67|
|20|高德地图|特快车|超值体验 更快上车|72|
|21|高德地图|出租车|鞍马聚的-高档出租车|77|
|22|高德地图|优享型|妥妥E行|84|
|23|高德地图|优享型|星徽出行|84|
|24|高德地图|优享型|旅程专车|85|
|25|高德地图|优享型|腾飞出行|85|
|26|高德地图|优享型|风韵出行|85|
|27|高德地图|优享型|火箭出行|85|
|28|高德地图|优享型|旗妙出行|86|
|29|高德地图|优享型|飞嘀打车|86|
|30|高德地图|优享型|东潮出行|86|
|31|高德地图|优享型|AA出行|87|
|32|高德地图|优享型|斑马快跑|87|
|33|高德地图|优享型|首汽约车|87|
|34|高德地图|优享型|环旅出行|88|
