query,车辆候选列表,全匹配,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,,,,,
用高德，打个车去北京南站，用斑马快跑经济型，价格不超过100元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|12|滴滴|快速|滴滴优享|51.95|
|13|滴滴|快速|滴滴快车|52.17|
|14|滴滴|快速|宽敞好车|52.62|
|15|滴滴|快速|方舟行|52.78|
|16|滴滴|舒适|滴滴专车|61.17|
|17|滴滴|六座|六座专车|107.15|
|18|滴滴|六座|六座豪华车|110.24|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""花小猪正价版"", ""price"": True, ""price_min"": 0, ""price_max"": 50, ""fast"": False}]",滴滴,,无,,花小猪正价版,,TRUE,0,50,,,王笑,,,,,
打个特价中的惊喜特价车去虹桥火车站，用滴滴，价格在35元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|15.11|
|1|滴滴|推荐|特惠快车|15.13|
|2|滴滴|推荐|滴滴快车|15.36|
|3|滴滴|推荐|特快出租车|15.62|
|4|滴滴|推荐|滴滴特快|18.20|
|5|滴滴|拼车|特价拼车|13.70-14.98|
|6|滴滴|拼车|极速拼车|20.31-22.17|
|7|滴滴|特价|花小猪外接版|22.81|
|8|滴滴|特价|惊喜特价|23.57|
|9|滴滴|特价|特惠快车|25.17|
|10|滴滴|快速|曹操出行|33.14|
|11|滴滴|快速|出租车|34.37|
|12|滴滴|快速|滴滴轻享|34.83|
|13|滴滴|快速|滴滴特快|35.00|
|14|滴滴|快速|滴滴优享|36.85|
|15|滴滴|快速|滴滴快车|37.33|
|16|滴滴|快速|宽敞好车|37.93|
|17|滴滴|快速|方舟行|38.50|
|18|滴滴|舒适|滴滴专车|47.60|
|19|滴滴|六座|六座专车|69.25|
|20|滴滴|六座|六座豪华车|72.41|",,"[{""app"": ""滴滴"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": True, ""price_min"": 35, ""price_max"": 35, ""fast"": False}]",滴滴,,特价车,无,无,惊喜特价,TRUE,35,35,,,王笑,,,,,
用滴滴帮我叫个车去陆家嘴金融中心，选快速中的曹操出行，价格不超过80元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|8.06|
|1|滴滴|推荐|特惠快车|8.34|
|2|滴滴|推荐|滴滴快车|8.39|
|3|滴滴|推荐|特快出租车|10.12|
|4|滴滴|推荐|滴滴特快|11.10|
|5|滴滴|推荐|宽敞好车|11.95|
|6|滴滴|拼车|特价拼车|5.56-7.48|
|7|滴滴|拼车|极速拼车|5.00-6.24|
|8|滴滴|特价|花小猪外接版|11.55|
|9|滴滴|特价|惊喜特价|14.46|
|10|滴滴|快速|曹操出行|15.08|
|11|滴滴|快速|出租车|16.83|
|12|滴滴|快速|滴滴轻享|17.04|
|13|滴滴|快速|滴滴特快|17.49|
|14|滴滴|快速|滴滴优享|18.13|
|15|滴滴|快速|滴滴快车|18.33|
|16|滴滴|快速|宽敞好车|18.49|
|17|滴滴|快速|方舟行|18.61|
|18|滴滴|快速|长沙新出租|18.88|
|19|滴滴|舒适|滴滴专车|21.43|
|20|滴滴|六座|六座专车|31.82|
|21|滴滴|六座|六座豪华车|33.06|
|22|滴滴|六座|六座快车|34.09|",,"[{""app"": ""滴滴"", ""category"": ""快速"", ""mode"": ""曹操出行"", ""price"": True, ""price_min"": 0, ""price_max"": 80, ""fast"": False}]",滴滴,,快速,无,曹操出行,,TRUE,0,80,,,王笑,,,,,
叫个城际中的顺风车去苏州金鸡湖，用滴滴，价格在120-150元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|28.62|
|1|滴滴|推荐|特惠快车|29.17|
|2|滴滴|推荐|滴滴快车|29.84|
|3|滴滴|推荐|特快出租车|30.48|
|4|滴滴|拼车|特价拼车|30.09-31.23|
|5|滴滴|拼车|极速拼车|31.38-32.55|
|6|滴滴|特价|花小猪外接版|35.54|
|7|滴滴|特价|惊喜特价|36.21|
|8|滴滴|快速|曹操出行|51.27|
|9|滴滴|快速|出租车|52.45|
|10|滴滴|快速|滴滴轻享|52.91|
|11|滴滴|快速|滴滴特快|53.21|
|12|滴滴|快速|滴滴优享|53.23|
|13|滴滴|快速|滴滴快车|53.98|
|14|滴滴|快速|宽敞好车|54.71|
|15|滴滴|快速|方舟行|55.46|
|16|滴滴|快速|长沙新出租|56.12|
|17|滴滴|快速|武汉新出租|56.87|
|18|滴滴|舒适|滴滴专车|70.77|
|19|滴滴|六座|六座专车|133.19|
|20|滴滴|六座|六座豪华车|133.67|",,"[{""app"": ""滴滴"", ""category"": ""顺风车"", ""mode"": ""无"", ""price"": True, ""price_min"": 120, ""price_max"": 150, ""fast"": False}]",滴滴,,顺风车,无,无,,TRUE,120,150,,,王笑,,,,,
用滴滴打个车去天府广场，用舒适中的滴滴豪华车，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|11.38|
|1|滴滴|推荐|特惠快车|12.48|
|2|滴滴|推荐|滴滴快车|12.88|
|3|滴滴|推荐|特快出租车|14.09|
|4|滴滴|推荐|滴滴特快|14.84|
|5|滴滴|拼车|特价拼车|8.39-10.05|
|6|滴滴|拼车|极速拼车|10.77-12.65|
|7|滴滴|特价|花小猪外接版|17.68|
|8|滴滴|特价|惊喜特价|20.88|
|9|滴滴|快速|曹操出行|30.36|
|10|滴滴|快速|出租车|30.52|
|11|滴滴|快速|滴滴轻享|30.88|
|12|滴滴|快速|滴滴特快|31.79|
|13|滴滴|快速|滴滴优享|32.07|
|14|滴滴|快速|滴滴快车|34.33|
|15|滴滴|快速|宽敞好车|35.08|
|16|滴滴|舒适|滴滴专车|45.40|
|17|滴滴|六座|六座专车|63.78|
|18|滴滴|六座|六座豪华车|68.77|",,"[{""app"": ""滴滴"", ""category"": ""舒适"", ""mode"": ""滴滴豪华车"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",滴滴,,舒适,无,滴滴豪华车,无,TRUE,0,100000,,,王笑,,,,,
帮我叫个超值出租车去白云机场T2航站楼，用滴滴，价格在95元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|35.08|
|1|滴滴|推荐|特惠快车|37.36|
|2|滴滴|推荐|滴滴快车|38.14|
|3|滴滴|推荐|特快出租车|38.80|
|4|滴滴|推荐|滴滴特快|39.89|
|5|滴滴|推荐|宽敞好车|40.52|
|6|滴滴|拼车|特价拼车|38.80-40.43|
|7|滴滴|特价|花小猪外接版|42.91|
|8|滴滴|特价|惊喜特价|43.46|
|9|滴滴|快速|曹操出行|54.65|
|10|滴滴|快速|出租车|55.33|
|11|滴滴|快速|滴滴轻享|55.86|
|12|滴滴|快速|滴滴特快|57.44|
|13|滴滴|快速|滴滴优享|59.14|
|14|滴滴|快速|滴滴快车|59.67|
|15|滴滴|快速|宽敞好车|59.82|
|16|滴滴|快速|方舟行|59.85|
|17|滴滴|舒适|滴滴专车|92.40|
|18|滴滴|六座|六座专车|136.04|
|19|滴滴|六座|六座豪华车|136.38|",,"[{""app"": ""滴滴"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 95, ""price_max"": 95, ""fast"": False}]",滴滴,,出租车,无,无,,TRUE,95,95,,,王笑,,,,,
用滴滴去外滩观景台，选推荐中的特惠快车，价格不超过45元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|17.91|
|1|滴滴|推荐|特惠快车|18.52|
|2|滴滴|推荐|滴滴快车|18.63|
|3|滴滴|拼车|特价拼车|17.07-18.39|
|4|滴滴|拼车|极速拼车|17.95-19.28|
|5|滴滴|特价|花小猪外接版|18.38|
|6|滴滴|特价|惊喜特价|20.71|
|7|滴滴|特价|特惠快车|22.28|
|8|滴滴|快速|曹操出行|25.66|
|9|滴滴|快速|出租车|26.02|
|10|滴滴|快速|滴滴轻享|27.21|
|11|滴滴|快速|滴滴特快|27.40|
|12|滴滴|快速|滴滴优享|27.70|
|13|滴滴|快速|滴滴快车|27.76|
|14|滴滴|快速|宽敞好车|27.78|
|15|滴滴|快速|方舟行|30.11|
|16|滴滴|快速|长沙新出租|30.42|
|17|滴滴|快速|武汉新出租|30.47|
|18|滴滴|快速|丽江新出租|31.05|
|19|滴滴|舒适|滴滴专车|36.04|
|20|滴滴|舒适|滴滴豪华车|37.09|
|21|滴滴|六座|六座专车|59.91|
|22|滴滴|六座|六座豪华车|62.66|",推荐|特惠快车,"[{""app"": ""滴滴"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 45, ""fast"": False}]",滴滴,,特惠快车,无,无,特惠快车,TRUE,0,45,,,王笑,,,,,
打个快速中的长沙新出租去岳麓山南门，用滴滴，价格在30-40元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|9.47|
|1|滴滴|推荐|特惠快车|10.73|
|2|滴滴|推荐|滴滴快车|11.74|
|3|滴滴|推荐|特快出租车|12.18|
|4|滴滴|拼车|特价拼车|10.07-11.22|
|5|滴滴|拼车|极速拼车|10.51-12.36|
|6|滴滴|拼车|滴滴小巴|10.29-12.11|
|7|滴滴|特价|花小猪外接版|18.59|
|8|滴滴|快速|曹操出行|18.81|
|9|滴滴|快速|出租车|18.92|
|10|滴滴|快速|滴滴轻享|19.17|
|11|滴滴|快速|滴滴特快|19.50|
|12|滴滴|快速|滴滴优享|19.64|
|13|滴滴|快速|滴滴快车|20.99|
|14|滴滴|快速|宽敞好车|22.21|
|15|滴滴|快速|方舟行|22.22|
|16|滴滴|快速|长沙新出租|22.42|
|17|滴滴|舒适|滴滴专车|28.15|
|18|滴滴|舒适|滴滴豪华车|29.46|
|19|滴滴|六座|六座专车|43.40|
|20|滴滴|六座|六座豪华车|45.97|",,"[{""app"": ""滴滴"", ""category"": ""长沙新出租"", ""mode"": ""无"", ""price"": True, ""price_min"": 30, ""price_max"": 40, ""fast"": False}]",滴滴,,长沙新出租,无,无,长沙新出租,TRUE,30,40,,,王笑,,,,,
用滴滴帮我叫个特价中的花小猪外接版去大唐不夜城，价格不超过25元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|21.21|
|1|滴滴|推荐|特惠快车|22.20|
|2|滴滴|推荐|滴滴快车|24.30|
|3|滴滴|推荐|特快出租车|25.76|
|4|滴滴|推荐|滴滴特快|26.97|
|5|滴滴|拼车|特价拼车|20.31-22.16|
|6|滴滴|拼车|极速拼车|22.52-23.92|
|7|滴滴|特价|花小猪外接版|28.45|
|8|滴滴|特价|惊喜特价|29.96|
|9|滴滴|快速|曹操出行|35.29|
|10|滴滴|快速|出租车|36.35|
|11|滴滴|快速|滴滴轻享|37.28|
|12|滴滴|快速|滴滴特快|37.68|
|13|滴滴|快速|滴滴优享|38.14|
|14|滴滴|快速|滴滴快车|39.33|
|15|滴滴|快速|宽敞好车|39.73|
|16|滴滴|快速|方舟行|40.61|
|17|滴滴|舒适|滴滴专车|67.51|
|18|滴滴|舒适|滴滴豪华车|68.64|
|19|滴滴|六座|六座专车|98.48|
|20|滴滴|六座|六座豪华车|99.93|
|21|滴滴|六座|六座快车|101.27|",,"[{""app"": ""滴滴"", ""category"": ""特价车"", ""mode"": ""花小猪外接版"", ""price"": True, ""price_min"": 0, ""price_max"": 25, ""fast"": False}]",滴滴,,特价车,无,花小猪外接版,,TRUE,0,25,,,王笑,,,,,
叫个城际中的城际拼车去天津滨海新区，用滴滴，价格在200元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|22.47|
|1|滴滴|推荐|特惠快车|24.24|
|2|滴滴|推荐|滴滴快车|24.69|
|3|滴滴|推荐|特快出租车|25.72|
|4|滴滴|推荐|滴滴特快|26.70|
|5|滴滴|拼车|特价拼车|25.12-26.65|
|6|滴滴|拼车|极速拼车|26.38-28.27|
|7|滴滴|特价|花小猪外接版|34.48|
|8|滴滴|特价|惊喜特价|38.45|
|9|滴滴|快速|曹操出行|47.03|
|10|滴滴|快速|出租车|47.07|
|11|滴滴|快速|滴滴轻享|47.25|
|12|滴滴|快速|滴滴特快|49.09|
|13|滴滴|快速|滴滴优享|49.74|
|14|滴滴|快速|滴滴快车|50.07|
|15|滴滴|快速|宽敞好车|50.61|
|16|滴滴|快速|方舟行|50.71|
|17|滴滴|舒适|滴滴专车|64.03|
|18|滴滴|舒适|滴滴豪华车|67.35|
|19|滴滴|六座|六座专车|87.35|
|20|滴滴|六座|六座豪华车|89.96|",,"[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""城际"", ""price"": True, ""price_min"": 200, ""price_max"": 200, ""fast"": False}]",滴滴,,拼车,无,城际,无,TRUE,200,200,,,王笑,,,,,
用滴滴去环球影城地铁站，选推荐中的滴滴特快，价格在65元上下。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|26.01|
|1|滴滴|推荐|特惠快车|27.09|
|2|滴滴|推荐|滴滴快车|27.34|
|3|滴滴|推荐|特快出租车|29.19|
|4|滴滴|拼车|特价拼车|29.26-30.89|
|5|滴滴|拼车|极速拼车|30.36-31.74|
|6|滴滴|特价|花小猪外接版|30.81|
|7|滴滴|特价|惊喜特价|35.44|
|8|滴滴|快速|曹操出行|51.41|
|9|滴滴|快速|出租车|53.23|
|10|滴滴|快速|滴滴轻享|53.56|
|11|滴滴|快速|滴滴特快|53.68|
|12|滴滴|快速|滴滴优享|54.38|
|13|滴滴|快速|滴滴快车|55.79|
|14|滴滴|快速|宽敞好车|56.06|
|15|滴滴|快速|方舟行|56.12|
|16|滴滴|快速|长沙新出租|56.70|
|17|滴滴|舒适|滴滴专车|86.43|
|18|滴滴|舒适|滴滴豪华车|88.47|
|19|滴滴|六座|六座专车|114.32|
|20|滴滴|六座|六座豪华车|118.18|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""滴滴特快"", ""price"": True, ""price_min"": 65, ""price_max"": 65, ""fast"": False}]",滴滴,,无,,滴滴特快,无,TRUE,65,65,,,王笑,,,,,
打个舒适中的滴滴专车去深圳湾体育中心，用滴滴，价格不超过150元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|8.99|
|1|滴滴|推荐|特惠快车|12.34|
|2|滴滴|推荐|滴滴快车|14.10|
|3|滴滴|拼车|特价拼车|9.50-10.74|
|4|滴滴|拼车|极速拼车|12.31-13.66|
|5|滴滴|特价|花小猪外接版|16.29|
|6|滴滴|特价|惊喜特价|16.97|
|7|滴滴|特价|特惠快车|18.76|
|8|滴滴|快速|曹操出行|21.56|
|9|滴滴|快速|出租车|21.74|
|10|滴滴|快速|滴滴轻享|22.07|
|11|滴滴|快速|滴滴特快|22.56|
|12|滴滴|快速|滴滴优享|23.36|
|13|滴滴|快速|滴滴快车|24.36|
|14|滴滴|快速|宽敞好车|25.25|
|15|滴滴|快速|方舟行|25.29|
|16|滴滴|快速|长沙新出租|25.81|
|17|滴滴|舒适|滴滴专车|35.72|
|18|滴滴|舒适|滴滴豪华车|38.98|
|19|滴滴|六座|六座专车|57.50|
|20|滴滴|六座|六座豪华车|60.42|",,"[{""app"": ""滴滴"", ""category"": ""专车"", ""mode"": ""滴滴专车"", ""price"": True, ""price_min"": 0, ""price_max"": 150, ""fast"": False}]",滴滴,,专车,无,滴滴专车,,TRUE,0,150,,,王笑,,,,,
用滴滴帮我叫个快速中的大兴新出租去南苑机场，价格在55元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|27.41|
|1|滴滴|推荐|特惠快车|28.29|
|2|滴滴|推荐|滴滴快车|30.19|
|3|滴滴|推荐|特快出租车|32.97|
|4|滴滴|推荐|滴滴特快|33.02|
|5|滴滴|拼车|特价拼车|36.40-37.98|
|6|滴滴|拼车|极速拼车|35.92-36.98|
|7|滴滴|特价|花小猪外接版|40.54|
|8|滴滴|特价|惊喜特价|42.80|
|9|滴滴|快速|曹操出行|55.41|
|10|滴滴|快速|出租车|55.45|
|11|滴滴|快速|滴滴轻享|55.54|
|12|滴滴|快速|滴滴特快|55.69|
|13|滴滴|快速|滴滴优享|55.80|
|14|滴滴|快速|滴滴快车|57.31|
|15|滴滴|快速|宽敞好车|57.84|
|16|滴滴|快速|方舟行|58.24|
|17|滴滴|快速|长沙新出租|59.38|
|18|滴滴|快速|武汉新出租|59.90|
|19|滴滴|舒适|滴滴专车|96.93|
|20|滴滴|六座|六座专车|115.92|
|21|滴滴|六座|六座豪华车|119.90|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""大兴新出租"", ""price"": True, ""price_min"": 55, ""price_max"": 55, ""fast"": False}]",滴滴,,无,,大兴新出租,无,TRUE,55,55,,,王笑,,,,,
叫个推荐中的宽敞好车去夫子庙步行街，用滴滴，价格在40-50元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|28.96|
|1|滴滴|推荐|特惠快车|29.17|
|2|滴滴|推荐|滴滴快车|29.73|
|3|滴滴|推荐|特快出租车|30.03|
|4|滴滴|拼车|特价拼车|29.35-30.57|
|5|滴滴|拼车|极速拼车|28.62-29.79|
|6|滴滴|拼车|滴滴小巴|30.05-31.93|
|7|滴滴|特价|花小猪外接版|33.86|
|8|滴滴|快速|曹操出行|48.89|
|9|滴滴|快速|出租车|49.20|
|10|滴滴|快速|滴滴轻享|49.33|
|11|滴滴|快速|滴滴特快|49.63|
|12|滴滴|快速|滴滴优享|49.91|
|13|滴滴|快速|滴滴快车|50.58|
|14|滴滴|快速|宽敞好车|51.22|
|15|滴滴|快速|方舟行|51.55|
|16|滴滴|快速|长沙新出租|51.79|
|17|滴滴|快速|武汉新出租|51.88|
|18|滴滴|舒适|滴滴专车|67.57|
|19|滴滴|舒适|滴滴豪华车|68.27|
|20|滴滴|六座|六座专车|122.32|
|21|滴滴|六座|六座豪华车|126.23|
|22|滴滴|六座|六座快车|126.24|",,"[{""app"": ""滴滴"", ""category"": ""宽敞好车"", ""mode"": ""无"", ""price"": True, ""price_min"": 40, ""price_max"": 50, ""fast"": False}]",滴滴,,宽敞好车,无,无,,TRUE,40,50,,,王笑,,,,,
用滴滴去青城山景区入口，选快速中的丽江新出租，价格不超过90元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|23.78|
|1|滴滴|推荐|特惠快车|24.51|
|2|滴滴|推荐|滴滴快车|26.68|
|3|滴滴|推荐|特快出租车|28.69|
|4|滴滴|拼车|特价拼车|23.35-24.70|
|5|滴滴|拼车|极速拼车|30.27-31.47|
|6|滴滴|特价|花小猪外接版|35.09|
|7|滴滴|特价|惊喜特价|35.29|
|8|滴滴|特价|特惠快车|37.27|
|9|滴滴|快速|曹操出行|46.96|
|10|滴滴|快速|出租车|48.47|
|11|滴滴|快速|滴滴轻享|49.86|
|12|滴滴|快速|滴滴特快|50.04|
|13|滴滴|快速|滴滴优享|51.12|
|14|滴滴|快速|滴滴快车|51.88|
|15|滴滴|快速|宽敞好车|52.28|
|16|滴滴|快速|方舟行|52.51|
|17|滴滴|舒适|滴滴专车|68.67|
|18|滴滴|舒适|滴滴豪华车|70.63|
|19|滴滴|六座|六座专车|113.72|
|20|滴滴|六座|六座豪华车|113.97|",,"[{""app"": ""滴滴"", ""category"": ""快速"", ""mode"": ""丽江新出租"", ""price"": True, ""price_min"": 0, ""price_max"": 90, ""fast"": False}]",滴滴,,快速,无,丽江新出租,无,TRUE,0,90,,,王笑,,,,,
打个特价中的特惠快车去成都东客站，用滴滴，价格在28元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|6.39|
|1|滴滴|推荐|特惠快车|8.78|
|2|滴滴|推荐|滴滴快车|10.70|
|3|滴滴|推荐|特快出租车|11.58|
|4|滴滴|拼车|特价拼车|9.78-11.49|
|5|滴滴|拼车|极速拼车|11.12-12.34|
|6|滴滴|特价|花小猪外接版|12.26|
|7|滴滴|特价|惊喜特价|14.03|
|8|滴滴|快速|曹操出行|15.23|
|9|滴滴|快速|出租车|15.89|
|10|滴滴|快速|滴滴轻享|16.86|
|11|滴滴|快速|滴滴特快|17.46|
|12|滴滴|快速|滴滴优享|18.03|
|13|滴滴|快速|滴滴快车|18.58|
|14|滴滴|快速|宽敞好车|18.96|
|15|滴滴|快速|方舟行|19.55|
|16|滴滴|快速|长沙新出租|19.65|
|17|滴滴|舒适|滴滴专车|29.48|
|18|滴滴|六座|六座专车|44.12|",,"[{""app"": ""滴滴"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 28, ""price_max"": 28, ""fast"": False}]",滴滴,,特惠快车,无,无,,TRUE,28,28,,,王笑,,,,,
用滴滴帮我叫个快速中的滴滴轻享去798艺术区，价格不超过35元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|27.90|
|1|滴滴|推荐|特惠快车|29.77|
|2|滴滴|推荐|滴滴快车|29.79|
|3|滴滴|推荐|特快出租车|29.96|
|4|滴滴|拼车|特价拼车|29.98-31.09|
|5|滴滴|拼车|极速拼车|33.38-34.67|
|6|滴滴|拼车|滴滴小巴|32.13-34.12|
|7|滴滴|特价|花小猪外接版|36.29|
|8|滴滴|特价|惊喜特价|37.92|
|9|滴滴|快速|曹操出行|56.86|
|10|滴滴|快速|出租车|58.73|
|11|滴滴|快速|滴滴轻享|58.77|
|12|滴滴|快速|滴滴特快|59.09|
|13|滴滴|快速|滴滴优享|59.20|
|14|滴滴|快速|滴滴快车|59.49|
|15|滴滴|快速|宽敞好车|59.83|
|16|滴滴|快速|方舟行|60.97|
|17|滴滴|快速|长沙新出租|61.70|
|18|滴滴|快速|武汉新出租|62.27|
|19|滴滴|快速|丽江新出租|62.31|
|20|滴滴|舒适|滴滴专车|93.62|
|21|滴滴|舒适|滴滴豪华车|96.80|
|22|滴滴|六座|六座专车|123.20|
|23|滴滴|六座|六座豪华车|123.71|
|24|滴滴|六座|六座快车|124.44|",,"[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""滴滴轻享"", ""price"": True, ""price_min"": 0, ""price_max"": 35, ""fast"": False}]",滴滴,,无,,滴滴轻享,,TRUE,0,35,,,王笑,,,,,
叫个推荐中的超值出租车去中山陵景区，用滴滴，价格在60-70元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|3.08|
|1|滴滴|推荐|特惠快车|6.01|
|2|滴滴|推荐|滴滴快车|6.05|
|3|滴滴|推荐|特快出租车|6.52|
|4|滴滴|拼车|特价拼车|0.78-2.24|
|5|滴滴|拼车|极速拼车|8.75-10.41|
|6|滴滴|拼车|滴滴小巴|3.57-5.04|
|7|滴滴|特价|花小猪外接版|8.28|
|8|滴滴|特价|惊喜特价|9.85|
|9|滴滴|快速|曹操出行|8.60|
|10|滴滴|快速|出租车|8.68|
|11|滴滴|快速|滴滴轻享|8.76|
|12|滴滴|快速|滴滴特快|8.92|
|13|滴滴|快速|滴滴优享|9.08|
|14|滴滴|快速|滴滴快车|9.44|
|15|滴滴|快速|宽敞好车|11.78|
|16|滴滴|快速|方舟行|12.53|
|17|滴滴|快速|长沙新出租|12.61|
|18|滴滴|快速|武汉新出租|13.96|
|19|滴滴|舒适|滴滴专车|10.89|
|20|滴滴|舒适|滴滴豪华车|15.40|
|21|滴滴|六座|六座专车|24.30|
|22|滴滴|六座|六座豪华车|25.16|",,"[{""app"": ""滴滴"", ""category"": ""超值出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 60, ""price_max"": 70, ""fast"": False}]",滴滴,,超值出租车,无,无,,TRUE,60,70,,,王笑,,,,,
用滴滴去珠海长隆海洋王国，选城际中的顺风车，价格在180元左右。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|19.96|
|1|滴滴|推荐|特惠快车|20.79|
|2|滴滴|推荐|滴滴快车|21.37|
|3|滴滴|推荐|特快出租车|22.78|
|4|滴滴|推荐|滴滴特快|23.00|
|5|滴滴|拼车|特价拼车|25.29-26.80|
|6|滴滴|拼车|极速拼车|20.14-21.24|
|7|滴滴|拼车|滴滴小巴|26.52-28.34|
|8|滴滴|特价|花小猪外接版|34.68|
|9|滴滴|特价|惊喜特价|35.39|
|10|滴滴|快速|曹操出行|41.42|
|11|滴滴|快速|出租车|42.20|
|12|滴滴|快速|滴滴轻享|42.25|
|13|滴滴|快速|滴滴特快|42.25|
|14|滴滴|快速|滴滴优享|43.17|
|15|滴滴|快速|滴滴快车|44.37|
|16|滴滴|快速|宽敞好车|44.97|
|17|滴滴|快速|方舟行|44.98|
|18|滴滴|快速|长沙新出租|45.44|
|19|滴滴|快速|武汉新出租|46.98|
|20|滴滴|快速|丽江新出租|47.23|
|21|滴滴|舒适|滴滴专车|49.12|
|22|滴滴|舒适|滴滴豪华车|51.22|
|23|滴滴|六座|六座专车|85.50|",,"[{""app"": ""滴滴"", ""category"": ""城际, 顺风车"", ""mode"": ""无"", ""price"": True, ""price_min"": 180, ""price_max"": 180, ""fast"": False}]",滴滴,,"城际, 顺风车",无,无,,TRUE,180,180,,,王笑,,,,,
打个快速中的武汉新出租去黄鹤楼东门，用滴滴，价格不超过25元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|15.66|
|1|滴滴|推荐|特惠快车|15.67|
|2|滴滴|推荐|滴滴快车|17.74|
|3|滴滴|推荐|特快出租车|18.62|
|4|滴滴|推荐|滴滴特快|19.33|
|5|滴滴|拼车|特价拼车|12.20-13.50|
|6|滴滴|拼车|极速拼车|17.30-19.11|
|7|滴滴|特价|花小猪外接版|18.38|
|8|滴滴|特价|惊喜特价|21.93|
|9|滴滴|快速|曹操出行|29.24|
|10|滴滴|快速|出租车|30.48|
|11|滴滴|快速|滴滴轻享|31.20|
|12|滴滴|快速|滴滴特快|32.13|
|13|滴滴|快速|滴滴优享|32.16|
|14|滴滴|快速|滴滴快车|33.19|
|15|滴滴|快速|宽敞好车|34.35|
|16|滴滴|快速|方舟行|34.60|
|17|滴滴|快速|长沙新出租|34.78|
|18|滴滴|舒适|滴滴专车|50.26|
|19|滴滴|六座|六座专车|66.58|
|20|滴滴|六座|六座豪华车|67.71|
|21|滴滴|六座|六座快车|68.20|",,"[{""app"": ""滴滴"", ""category"": ""快车"", ""mode"": ""武汉新出租"", ""price"": True, ""price_min"": 0, ""price_max"": 25, ""fast"": False}]",滴滴,,快车,无,武汉新出租,无,TRUE,0,25,,,王笑,,,,,
用滴滴帮我叫个舒适中的滴滴豪华车去浦东国际机场，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|20.39|
|1|滴滴|推荐|特惠快车|21.24|
|2|滴滴|推荐|滴滴快车|24.18|
|3|滴滴|推荐|特快出租车|24.68|
|4|滴滴|推荐|滴滴特快|24.84|
|5|滴滴|拼车|特价拼车|20.75-22.34|
|6|滴滴|拼车|极速拼车|21.46-23.35|
