query,车型大类列表,车辆类型列表,车型大类,车辆类型,大类正确答案,小类正确答案
我在南京南京大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],['滴滴豪华车'],[],['滴滴豪华车']
打车去夫子庙,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
10分钟内给我打一辆去中山陵的车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
叫辆车去南京博物院,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去南京大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去新街口,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
我要去总统府,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打的去南京师范大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打辆车去侵华日军南京大屠杀遇难同胞纪念馆,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去南京林业大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
帮我打一辆6分钟内去德基广场的车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从家里打的去南京南站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从我现在的位置打车去公司,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
帮我打车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
给我叫辆去1912街区的车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去玄武湖公园,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
叫车去南京站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从夫子庙打车去老门东,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去栖霞山,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从珠江路地铁站打车去紫峰大厦,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
预约9点从酒店出发,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
需要在13分钟内打车到机场,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去紫金山天文台,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从夫子庙打车去秦淮河,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去高淳老街,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
给我叫辆车去南京医科大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去朝天宫,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从南京奥体中心打车到禄口机场,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
在新街口打车去南京博物院,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
南京河西CBD打车到南京站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
南京夫子庙附近打车到南京南站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车到南京禄口国际机场,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
南京中山陵景区打车去南京站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
预约周日上午7点整,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
南京仙林大学城打车到南京站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车到南京新街口,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
南京雨花台景区到南京南站,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去南京明孝陵,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
8分钟内给我打一辆去南京海底世界的车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
叫辆车去南京红山森林动物园,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
预约7,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],['滴滴专车，六座专车'],[],['滴滴专车，六座专车']
打车去南京工业大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
我要去南京艺术学院,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打的去南京邮电大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打辆车去南京中医药大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
打车去南京审计大学,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
帮我打一辆7分钟内去南京万达广场的车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从公司打的去南京禄口机场,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
从我家打车去公司,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
帮我打车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
给我叫辆去南京新街口的车,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
帮我打车去百家湖,"['特价拼车', '特价', '特快车', '出租', '拼车', '特惠快车', '快速', '六座', '舒适出发', '经济']","['特价拼车', '花小猪外接版', '聚优出租', '出租车', '滴滴豪华车', '特快车', '滴滴专车', '六座专车', '365约车', '特惠快车', '特快出租车', '滴滴快车', '极速拼车']",[],[],[],[]
拼个晚上7点到达南京南站的车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车，特价拼车'],['特价拼车，极速拼车']
预约21,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['特价，特惠快车，经济，特价拼车'],['特价拼车，特惠快车'],['特价，特惠快车，经济，特价拼车'],['特价拼车，特惠快车']
3个人去雨花台区政府,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],['滴滴专车，六座专车'],[],['滴滴专车，六座专车']
从这拼车去南京站贵吗,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['拼车，特价拼车'],['特价拼车，极速拼车'],['拼车，特价拼车'],['特价拼车，极速拼车']
叫辆顺风车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],[],[]
查找去南京软件谷的顺风车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],[],[]
叫一辆去东南大学四牌楼校区的出租车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车，聚优出租，出租车']
打车去江宁织造府,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['拼车，快速，舒适出发，特快车，六座，经济，出租，特价拼车，特惠快车'],['花小猪外接版，滴滴快车，特惠快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，极速拼车，特价拼车，365约车，聚优出租，特快车，出租车'],['拼车，快速，舒适出发，六座，特快车，出租'],['极速拼车，花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车']
有没有去羊山公园的6座商务车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],[],[]
两人去雨花吾悦广场,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['特价，经济，特惠快车，特价拼车'],['特价拼车，特惠快车'],['经济，特价，特惠快车，特价拼车'],['特价拼车，特惠快车']
我要去砂之船奥莱,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['出租'],['特快出租车，聚优出租，出租车'],['出租'],['特快出租车，聚优出租，出租车']
打车去六角广场,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],['特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租'],['花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车']
打的到玄武湖景区,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['舒适出发'],[],['舒适出发'],[]
叫辆车去玄武湖公园,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],['特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租'],['花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车']
从贾西地铁站打车去雨花客厅,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['六座'],['六座专车'],['六座'],['六座专车']
打辆去南京南站的特价车,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['特价，特惠快车，特价拼车'],['特价拼车，特惠快车'],['特价，特惠快车，经济，特价拼车'],['特价拼车，特惠快车']
打车去德基广场,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],[],['特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租'],['花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车']
叫辆特快出租车从南京林业大学到鸡鸣寺,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",[],['特快出租车'],[],['特快出租车']
叫辆六座专车去新街口,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['六座'],['六座专车'],['六座'],['六座专车']
打车去橘子洲,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['拼车，特价拼车'],['特价拼车，极速拼车'],[],[]
打车去洱海,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['拼车，特价拼车'],['特价拼车，极速拼车'],[],[]
打辆特惠快车去武汉大学,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['特惠快车'],['特惠快车'],['特惠快车'],['特惠快车']
打车去万达广场,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['拼车，专车'],['滴滴专车，极速拼车，特价拼车'],['拼车，特价拼车'],['特价拼车，极速拼车，滴滴专车，六座专车']
五个人叫辆六座专车去中山陵,"['经济', '出租', '特价拼车', '特惠快车', '快速', '舒适出发', '特快车', '拼车', '特价', '六座']","['滴滴豪华车', '聚优出租', '出租车', '特惠快车', '六座专车', '花小猪外接版', '特快车', '365约车', '特快出租车', '滴滴快车', '滴滴专车', '极速拼车', '特价拼车']",['六座'],['六座专车'],['六座'],['六座专车']
